#Depth	TVD	DX	DY	GR	RT	RI	RXO	DEN	SP
31.875	31.871	0.012	0.221	63.902	29.029	7.185	7.585	2.116	-8.272
32.000	31.995	0.015	0.227	66.408	30.348	7.395	7.486	2.115	-7.870
32.125	32.120	0.018	0.234	66.091	32.479	7.647	7.382	2.108	-7.362
32.250	32.245	0.020	0.240	63.790	33.994	7.831	7.469	2.101	-6.780
32.375	32.369	0.023	0.247	63.551	33.836	7.826	7.534	2.102	-6.112
32.500	32.494	0.025	0.254	67.989	31.650	7.549	7.527	2.120	-5.330
32.625	32.619	0.028	0.260	76.742	27.943	6.977	7.084	2.161	-4.425
32.750	32.744	0.030	0.267	88.546	24.194	6.280	6.253	2.210	-3.366
32.875	32.868	0.033	0.273	100.943	21.219	5.586	5.246	2.253	-2.214
33.000	32.993	0.035	0.280	108.965	19.222	4.983	4.660	2.281	-1.041
33.125	33.118	0.038	0.286	108.375	17.937	4.515	4.503	2.292	0.075
33.250	33.242	0.040	0.293	104.853	16.776	4.166	4.460	2.297	1.038
33.375	33.367	0.043	0.299	102.743	15.640	3.961	4.393	2.302	1.881
33.500	33.492	0.045	0.306	102.479	14.986	3.971	4.339	2.315	2.527
33.625	33.617	0.048	0.313	102.276	16.274	4.398	4.644	2.349	2.866
33.750	33.741	0.050	0.319	98.973	20.671	5.388	5.804	2.408	2.949
33.875	33.866	0.053	0.326	90.119	29.008	7.145	8.974	2.488	2.769
34.000	33.991	0.056	0.332	78.659	40.722	9.757	14.648	2.568	2.475
34.125	34.115	0.058	0.339	71.215	52.124	12.806	19.445	2.616	1.972
34.250	34.240	0.061	0.345	66.947	57.935	14.887	21.352	2.617	1.429
34.375	34.365	0.063	0.352	63.743	55.687	14.912	20.555	2.569	0.774
34.500	34.490	0.066	0.358	63.135	47.132	13.119	16.429	2.481	0.005
34.625	34.614	0.068	0.365	65.333	37.058	10.780	11.952	2.374	-0.826
34.750	34.739	0.071	0.372	67.366	29.341	8.895	9.049	2.277	-1.705
34.875	34.864	0.073	0.378	69.462	24.549	7.641	7.949	2.207	-2.570
35.000	34.989	0.076	0.385	70.554	21.945	6.942	7.495	2.166	-3.511
35.125	35.113	0.078	0.391	69.534	20.750	6.711	7.375	2.137	-4.405
35.250	35.238	0.081	0.398	68.468	20.170	6.732	7.312	2.093	-5.268
35.375	35.363	0.083	0.404	67.539	19.972	6.892	7.209	2.031	-6.086
35.500	35.487	0.086	0.411	65.545	19.984	7.108	7.132	1.965	-6.815
35.625	35.612	0.088	0.417	64.168	19.966	7.324	7.244	1.930	-7.426
35.750	35.737	0.091	0.424	65.467	19.718	7.504	7.435	1.942	-7.962
35.875	35.862	0.094	0.431	67.407	19.226	7.623	7.820	1.996	-8.472
36.000	35.986	0.096	0.437	68.237	18.653	7.669	8.340	2.068	-8.969
36.125	36.111	0.099	0.444	68.934	18.279	7.635	8.846	2.125	-9.377
36.250	36.236	0.101	0.450	68.512	18.202	7.555	8.935	2.148	-9.760
36.375	36.360	0.104	0.457	68.259	18.378	7.451	8.340	2.140	-10.122
36.500	36.485	0.106	0.463	69.461	18.655	7.339	7.833	2.114	-10.445
36.625	36.610	0.109	0.470	71.410	18.766	7.219	7.740	2.087	-10.753
36.750	36.735	0.111	0.476	71.834	18.495	7.078	7.890	2.075	-11.030
36.875	36.859	0.114	0.483	70.044	17.727	6.888	8.151	2.080	-11.320
37.000	36.984	0.116	0.489	66.826	16.518	6.629	8.341	2.094	-11.509
37.125	37.109	0.119	0.496	65.570	15.189	6.344	8.466	2.103	-11.671
37.250	37.234	0.121	0.503	67.620	14.305	6.183	8.451	2.103	-11.768
37.375	37.358	0.124	0.509	71.078	14.363	6.325	8.288	2.108	-11.772
37.500	37.483	0.127	0.516	73.377	15.691	6.940	8.230	2.142	-11.790
37.625	37.608	0.129	0.522	72.801	18.351	8.233	10.387	2.223	-11.711
37.750	37.732	0.132	0.529	70.133	21.259	9.953	18.051	2.322	-11.597
37.875	37.857	0.134	0.535	67.397	23.074	11.520	30.332	2.396	-11.397
38.000	37.982	0.137	0.542	66.422	22.688	12.062	30.745	2.411	-11.263
