#Depth	AC	GR	R025	R2M	RA2	RI	RT	RXO	SP
49.750	0.000	0.000	9.798	20.297	0.000	0.000	0.000	0.000	0.000
49.875	0.000	0.000	9.713	20.323	0.000	0.000	0.000	0.000	0.000
50.000	0.000	0.000	9.528	19.099	0.000	0.000	0.000	0.000	0.000
50.125	0.000	0.000	8.610	12.570	0.000	0.000	0.000	0.000	0.000
50.250	0.000	0.000	8.067	12.966	0.000	0.000	0.000	0.000	0.000
50.375	0.000	0.000	7.724	13.536	0.000	0.000	0.000	0.000	0.000
50.500	0.000	0.000	8.008	14.122	0.000	0.000	0.000	0.000	0.000
50.625	0.000	0.000	8.372	14.644	0.000	0.000	0.000	0.000	0.000
50.750	0.000	0.000	9.147	15.081	0.000	0.000	0.000	0.000	0.000
50.875	0.000	0.000	10.049	15.340	0.000	0.000	0.000	0.000	0.000
51.000	0.000	0.000	10.718	15.644	0.000	0.000	0.000	0.000	0.000
51.125	0.000	0.000	11.311	16.003	0.000	0.000	0.000	0.000	0.000
51.250	0.000	0.000	11.900	16.197	0.000	0.000	0.000	0.000	0.000
51.375	0.000	0.000	12.569	16.303	0.000	0.000	0.000	0.000	0.000
51.500	0.000	0.000	12.882	15.709	0.000	0.000	0.000	0.000	0.000
51.625	0.000	0.000	13.110	14.894	0.000	0.000	0.000	0.000	0.000
51.750	0.000	0.000	13.266	14.350	0.000	0.000	0.000	0.000	0.000
51.875	0.000	0.000	13.250	14.198	0.000	0.000	0.000	0.000	0.000
52.000	0.000	0.000	13.062	14.184	0.000	0.000	0.000	0.000	0.000
52.125	0.000	0.000	12.873	14.149	0.000	0.000	0.000	0.000	0.000
52.250	0.000	0.000	12.685	14.167	0.000	0.000	0.000	0.000	0.000
52.375	0.000	0.000	12.490	14.476	0.000	0.000	0.000	0.000	0.000
52.500	0.000	0.000	12.178	15.187	0.000	0.000	0.000	0.000	0.000
52.625	0.000	0.000	11.867	15.902	0.000	0.000	0.000	0.000	0.000
52.750	0.000	0.000	11.474	16.537	0.000	0.000	0.000	0.000	0.000
52.875	0.000	0.000	11.023	17.463	0.000	0.000	0.000	0.000	0.000
53.000	0.000	0.000	10.572	18.673	0.000	0.000	0.000	0.000	0.000
53.125	0.000	0.000	10.121	19.827	0.000	0.000	0.000	0.000	0.000
53.250	0.000	0.000	9.813	20.300	0.000	0.000	0.000	0.000	0.000
53.375	0.000	0.000	9.475	19.467	0.000	0.000	0.000	0.000	0.000
53.500	0.000	0.000	8.907	18.956	0.000	0.000	0.000	0.000	0.000
53.625	0.000	0.000	8.522	18.406	0.000	0.000	0.000	0.000	0.000
53.750	0.000	0.000	7.752	17.838	0.000	0.000	0.000	0.000	0.000
53.875	0.000	0.000	7.087	17.024	0.000	0.000	0.000	0.000	0.000
54.000	0.000	0.000	6.771	16.345	0.000	0.000	0.000	0.000	0.000
54.125	0.000	0.000	6.360	14.020	0.000	0.000	0.000	0.000	0.000
54.250	0.000	0.000	5.761	10.536	0.000	0.000	0.000	0.000	0.000
54.375	0.000	0.000	5.167	9.655	0.000	0.000	0.000	0.000	0.000
54.500	0.000	0.000	5.155	9.177	0.000	0.000	0.000	0.000	0.000
54.625	0.000	0.000	5.213	8.436	0.000	0.000	0.000	0.000	0.000
54.750	0.000	0.000	5.272	7.976	0.000	0.000	0.000	0.000	0.000
54.875	0.000	0.000	5.331	7.640	0.000	0.000	0.000	0.000	0.000
55.000	0.000	0.000	5.158	7.640	0.000	0.000	0.000	0.000	0.000
55.125	0.000	0.000	4.498	7.641	0.000	0.000	0.000	0.000	0.000
55.250	0.000	0.000	4.654	7.673	0.000	0.000	0.000	0.000	0.000
55.375	0.000	0.000	4.840	7.770	0.000	0.000	0.000	0.000	0.000
55.500	0.000	0.000	5.051	7.890	0.000	0.000	0.000	0.000	0.000
55.625	0.000	0.000	5.261	8.019	0.000	0.000	0.000	0.000	0.000
55.750	0.000	0.000	5.471	8.149	0.000	0.000	0.000	0.000	0.000
55.875	0.000	0.000	5.682	8.278	0.000	0.000	0.000	0.000	0.000
56.000	0.000	0.000	5.869	7.458	0.000	0.000	0.000	0.000	0.000
56.125	0.000	0.000	6.024	6.883	0.000	0.000	0.000	0.000	0.000
56.250	0.000	0.000	6.168	6.059	0.000	0.000	0.000	0.000	0.000
