#Depth	TVD	DX	DY	DEN	GR	RT	RI	RXO	SP
57.375	57.282	-1.902	-1.205	2.285	99.136	7.593	6.861	7.167	-18.819
57.500	57.406	-1.910	-1.210	2.271	98.937	7.819	7.046	7.193	-18.870
57.625	57.531	-1.918	-1.215	2.269	101.068	7.966	7.176	6.979	-19.043
57.750	57.655	-1.926	-1.220	2.277	103.304	8.056	7.258	6.732	-19.223
57.875	57.780	-1.933	-1.224	2.288	101.957	8.128	7.312	6.785	-19.397
58.000	57.904	-1.941	-1.229	2.297	97.352	8.215	7.364	7.130	-19.582
58.125	58.029	-1.949	-1.234	2.298	94.200	8.324	7.421	7.725	-19.783
58.250	58.154	-1.957	-1.239	2.290	94.123	8.423	7.467	8.164	-20.017
58.375	58.278	-1.965	-1.243	2.273	95.870	8.486	7.489	8.123	-20.271
58.500	58.403	-1.973	-1.248	2.250	97.625	8.513	7.491	7.706	-20.501
58.625	58.527	-1.981	-1.253	2.226	96.256	8.551	7.510	7.421	-20.727
58.750	58.652	-1.989	-1.258	2.207	91.510	8.666	7.586	7.650	-21.010
58.875	58.776	-1.996	-1.263	2.196	85.767	8.892	7.741	8.042	-21.266
59.000	58.901	-2.004	-1.267	2.187	80.734	9.216	7.978	8.485	-21.454
59.125	59.026	-2.012	-1.272	2.175	76.525	9.580	8.273	8.918	-21.599
59.250	59.150	-2.020	-1.277	2.158	74.031	9.914	8.572	9.399	-21.761
59.375	59.275	-2.028	-1.282	2.137	74.061	10.193	8.841	9.497	-21.917
59.500	59.399	-2.036	-1.286	2.120	74.803	10.426	9.070	9.201	-22.003
