#Depth	GR	RT	RI	RXO	DEN	SP
114.250	57.596	24.581	26.083	18.825	2.226	-5.729
114.375	58.852	24.284	25.682	20.182	2.219	-5.707
114.500	59.946	24.312	25.572	16.195	2.209	-5.696
114.625	65.596	24.244	25.444	16.939	2.203	-5.699
114.750	63.200	24.282	25.456	21.499	2.198	-5.710
114.875	59.148	24.608	25.720	22.141	2.188	-5.729
115.000	54.949	25.447	26.461	19.690	2.178	-5.753
115.125	51.563	27.084	27.953	17.204	2.175	-5.779
115.250	52.072	29.822	30.419	15.586	2.184	-5.806
115.375	53.069	31.656	32.042	17.442	2.199	-5.829
115.500	51.201	33.490	33.542	18.806	2.207	-5.843
115.625	51.185	35.364	34.999	17.790	2.201	-5.846
115.750	52.681	37.039	36.219	15.941	2.185	-5.835
115.875	53.920	37.953	36.684	15.169	2.165	-5.807
116.000	54.287	37.230	35.545	15.488	2.153	-5.763
116.125	56.282	34.324	32.439	14.999	2.155	-5.698
116.250	56.229	30.933	29.118	12.910	2.163	-5.622
116.375	55.214	27.820	26.195	11.037	2.168	-5.538
116.500	52.694	25.520	24.059	10.772	2.168	-5.452
116.625	49.679	24.362	22.945	12.649	2.166	-5.366
116.750	50.709	24.454	22.963	15.961	2.167	-5.286
116.875	53.201	25.749	24.012	19.541	2.169	-5.216
117.000	53.783	27.256	25.315	22.308	2.178	-5.158
117.125	54.776	27.937	26.024	23.707	2.190	-5.110
117.250	54.590	27.507	25.795	23.244	2.203	-5.074
117.375	52.907	26.258	24.755	21.209	2.211	-5.048
117.500	53.981	24.933	23.494	19.160	2.203	-5.033
117.625	50.989	23.720	22.250	18.700	2.171	-5.030
117.750	53.324	21.785	20.440	16.687	2.141	-5.036
117.875	59.603	19.437	18.257	13.677	2.131	-5.050
118.000	66.740	17.208	16.127	10.656	2.140	-5.071
118.125	71.875	15.602	14.525	9.182	2.161	-5.098
118.250	73.865	14.883	13.822	11.311	2.180	-5.128
118.375	68.214	15.390	14.274	15.378	2.174	-5.158
118.500	61.061	16.884	15.577	18.058	2.161	-5.185
118.625	55.960	19.084	17.358	18.827	2.151	-5.209
118.750	51.953	21.245	19.066	18.031	2.147	-5.230
118.875	48.683	22.494	20.085	16.579	2.148	-5.249
119.000	49.636	22.168	19.890	15.669	2.152	-5.269
119.125	48.639	21.574	19.403	15.618	2.151	-5.295
119.250	52.561	21.439	19.268	15.915	2.156	-5.329
119.375	56.306	21.782	19.468	17.008	2.164	-5.374
119.500	59.297	22.411	19.829	18.209	2.176	-5.432
119.625	61.956	22.909	20.027	18.477	2.188	-5.505
119.750	63.374	22.665	19.628	17.057	2.191	-5.591
119.875	61.380	21.451	18.561	15.091	2.191	-5.693
120.000	59.386	20.106	17.434	12.772	2.185	-5.807
120.125	54.598	19.433	16.909	12.168	2.178	-5.929
120.250	50.012	19.680	17.148	14.085	2.172	-6.058
120.375	48.018	20.790	18.039	17.590	2.169	-6.190
120.500	46.125	22.536	19.312	19.707	2.174	-6.324
120.625	48.618	23.461	19.936	17.558	2.198	-6.452
120.750	47.419	22.825	19.461	14.431	2.249	-6.571
120.875	47.288	21.010	18.066	12.821	2.301	-6.675
121.000	49.339	19.017	16.474	11.886	2.335	-6.759
121.125	53.014	17.806	15.478	10.923	2.334	-6.819
121.250	57.236	17.791	15.565	11.732	2.291	-6.853
121.375	57.236	19.882	17.351	16.388	2.234	-6.853
121.500	53.134	23.738	20.245	21.773	2.203	-6.825
121.625	53.221	28.593	23.713	26.642	2.189	-6.774
121.750	54.621	32.547	26.666	29.054	2.189	-6.705
121.875	54.031	33.901	27.977	27.654	2.198	-6.623
122.000	54.751	32.238	26.951	22.763	2.206	-6.534
122.125	50.763	29.363	24.797	20.315	2.207	-6.445
122.250	52.519	27.153	23.163	19.082	2.198	-6.363
122.375	54.372	26.091	22.398	19.925	2.191	-6.290
122.500	53.777	26.204	22.515	22.767	2.189	-6.229
122.625	50.934	27.289	23.371	25.900	2.192	-6.182
122.750	48.591	29.063	24.777	25.753	2.195	-6.150
122.875	45.600	30.402	25.851	25.240	2.189	-6.136
123.000	50.408	29.220	25.014	24.316	2.183	-6.138
123.125	56.475	24.359	21.528	21.658	2.182	-6.153
