#Depth	DEN	SP	R2M	R025	GR	RT	RI	RXO	RA2
266.250	2.393	-4.036	12.584	15.026	89.931	17.635	15.046	32.379	12.584
266.375	2.413	-3.974	13.703	14.352	80.956	17.376	15.360	36.101	13.703
266.500	2.403	-3.927	13.541	13.046	71.874	14.837	13.648	19.937	13.541
266.625	2.378	-3.886	12.150	11.762	65.022	11.619	11.063	11.210	12.150
266.750	2.357	-3.818	10.411	10.872	61.391	9.328	9.017	9.228	10.411
266.875	2.345	-3.769	8.926	10.376	60.655	8.262	7.853	8.949	8.926
267.000	2.337	-3.783	7.978	10.083	61.305	8.166	7.472	8.964	7.978
267.125	2.334	-3.855	7.578	9.929	61.282	8.633	7.650	8.216	7.578
267.250	2.335	-3.925	7.433	9.947	59.802	9.181	8.012	7.662	7.433
267.375	2.340	-3.980	7.385	10.091	58.610	9.640	8.397	7.865	7.385
267.500	2.345	-4.005	7.343	10.265	59.226	9.979	8.739	8.918	7.343
267.625	2.347	-4.010	7.281	10.404	60.460	10.198	9.000	10.484	7.281
267.750	2.342	-4.022	7.248	10.493	61.207	10.325	9.173	10.864	7.248
267.875	2.334	-4.024	7.316	10.518	61.584	10.364	9.250	10.600	7.316
268.000	2.331	-4.008	7.557	10.462	62.240	10.317	9.227	9.684	7.557
268.125	2.337	-3.963	8.079	10.295	61.733	10.171	9.091	9.292	8.079
268.250	2.346	-3.905	8.841	10.018	59.006	9.957	8.869	9.229	8.841
268.375	2.353	-3.848	9.738	9.647	55.707	9.700	8.587	9.510	9.738
268.500	2.357	-3.784	10.570	9.245	53.759	9.417	8.273	10.073	10.570
268.625	2.364	-3.716	11.046	8.907	54.300	9.125	7.949	10.746	11.046
268.750	2.369	-3.676	11.111	8.666	55.833	8.857	7.643	10.904	11.111
268.875	2.364	-3.640	10.835	8.493	56.724	8.656	7.389	10.011	10.835
269.000	2.348	-3.579	10.384	8.350	57.118	8.555	7.218	9.314	10.384
269.125	2.333	-3.557	9.929	8.223	58.140	8.556	7.144	9.162	9.929
269.250	2.329	-3.593	9.549	8.106	59.310	8.584	7.118	8.938	9.549
269.375	2.333	-3.647	9.241	7.986	58.932	8.583	7.096	8.489	9.241
269.500	2.342	-3.716	8.984	7.856	57.736	8.526	7.048	7.999	8.984
269.625	2.355	-3.784	8.771	7.727	58.687	8.428	6.968	7.466	8.771
269.750	2.362	-3.821	8.581	7.608	61.389	8.329	6.878	7.288	8.581
269.875	2.358	-3.826	8.404	7.500	63.501	8.246	6.792	7.307	8.404
270.000	2.346	-3.804	8.236	7.402	63.653	8.176	6.709	7.570	8.236
270.125	2.338	-3.733	8.103	7.314	62.431	8.106	6.627	7.854	8.103
270.250	2.334	-3.634	8.025	7.205	61.773	8.030	6.544	7.979	8.025
270.375	2.333	-3.536	8.001	7.060	61.637	7.946	6.460	7.746	8.001
270.500	2.333	-3.446	8.001	6.916	61.656	7.848	6.373	7.213	8.001
270.625	2.336	-3.369	7.972	6.832	61.750	7.738	6.279	6.643	7.972
270.750	2.338	-3.313	7.890	6.785	61.475	7.639	6.189	6.389	7.890
270.875	2.340	-3.280	7.770	6.740	61.088	7.576	6.122	6.488	7.770
271.000	2.346	-3.272	7.643	6.691	61.077	7.564	6.092	6.824	7.643
271.125	2.351	-3.295	7.540	6.647	61.808	7.602	6.102	7.248	7.540
271.250	2.352	-3.300	7.458	6.606	62.276	7.645	6.120	7.577	7.458
271.375	2.350	-3.297	7.388	6.565	62.371	7.657	6.120	7.452	7.388
271.500	2.355	-3.305	7.321	6.534	63.097	7.627	6.092	6.808	7.321
271.625	2.364	-3.316	7.255	6.528	64.344	7.574	6.048	6.510	7.255
271.750	2.361	-3.294	7.191	6.539	65.187	7.533	6.013	6.542	7.191
271.875	2.344	-3.294	7.130	6.547	64.753	7.517	5.996	6.685	7.130
272.000	2.322	-3.319	7.069	6.543	62.885	7.516	5.994	6.883	7.069
272.125	2.311	-3.319	7.007	6.557	60.889	7.518	5.998	6.981	7.007
272.250	2.311	-3.339	6.955	6.605	60.889	7.521	6.006	6.747	6.955
272.375	2.317	-3.387	6.924	6.666	60.889	7.545	6.029	6.330	6.924
272.500	2.325	-3.462	6.922	6.716	60.889	7.611	6.081	6.125	6.922
272.625	2.333	-3.558	6.941	6.758	60.889	7.725	6.165	6.211	6.941
272.750	2.343	-3.644	6.958	6.816	60.889	7.846	6.260	6.391	6.958
272.875	2.350	-3.707	6.954	6.878	60.889	7.940	6.343	6.591	6.954
273.000	2.351	-3.758	6.921	6.919	60.889	7.987	6.397	6.844	6.921
273.125	2.345	-3.803	6.864	6.926	60.889	7.983	6.415	7.339	6.864
273.250	2.339	-3.823	6.805	6.914	60.889	7.957	6.411	7.706	6.805
273.375	2.339	-3.807	6.759	6.897	60.889	7.931	6.396	7.743	6.759
273.500	2.347	-3.730	6.731	6.885	60.889	7.920	6.383	7.857	6.731
273.625	2.359	-3.645	6.726	6.892	60.889	7.935	6.377	7.911	6.726
273.750	2.370	-3.575	6.733	6.907	60.889	7.960	6.375	7.619	6.733
273.875	2.375	-3.506	6.743	6.921	60.889	7.974	6.372	7.264	6.743
274.000	2.371	-3.427	6.747	6.932	60.889	7.961	6.363	7.192	6.747
274.125	2.359	-3.353	6.742	6.955	60.889	7.921	6.352	7.597	6.742
274.250	2.349	-3.300	6.729	6.990	60.889	7.886	6.349	8.066	6.729
274.375	2.349	-3.256	6.716	7.021	60.889	7.882	6.368	7.901	6.716
274.500	2.360	-3.265	6.718	7.034	60.889	7.923	6.418	7.052	6.718
274.625	2.379	-3.296	6.770	7.032	60.889	8.021	6.515	6.621	6.770
274.750	2.403	-3.357	6.881	7.036	60.889	8.171	6.662	6.532	6.881
274.875	2.423	-3.447	7.040	7.043	60.889	8.377	6.859	6.492	7.040
275.000	2.423	-3.542	7.208	7.044	60.889	8.623	7.093	6.452	7.208
275.125	2.399	-3.649	7.331	7.040	60.889	8.872	7.327	6.670	7.331
275.250	2.368	-3.741	7.393	7.037	60.889	9.088	7.523	7.479	7.393
275.375	2.345	-3.824	7.412	7.035	60.889	9.247	7.655	8.914	7.412
275.500	2.334	-3.874	7.420	7.034	60.889	9.326	7.708	10.025	7.420
275.625	2.333	-3.958	7.444	7.035	60.889	9.289	7.658	9.268	7.444
