#Depth	DEN	GR	RT	RI	RXO	SP
86.500	2.233	63.291	9.242	7.336	7.521	-7.186
86.625	2.215	60.607	9.403	7.381	7.539	-6.930
86.750	2.202	58.800	9.861	7.644	7.624	-6.606
86.875	2.203	57.053	10.514	8.076	7.809	-6.188
87.000	2.228	55.802	11.102	8.523	8.228	-5.611
87.125	2.271	57.850	11.335	8.769	8.980	-4.884
87.250	2.318	63.900	11.025	8.652	10.242	-4.051
87.375	2.352	72.563	10.167	8.128	11.760	-3.197
87.500	2.357	80.241	8.963	7.297	11.229	-2.408
87.625	2.341	84.177	7.796	6.430	8.421	-1.686
87.750	2.319	84.196	6.947	5.742	6.141	-1.051
87.875	2.302	84.291	6.554	5.353	5.248	-0.546
88.000	2.296	86.923	6.720	5.362	5.170	-0.229
88.125	2.297	88.568	7.364	5.737	5.328	-0.098
88.250	2.303	87.064	8.386	6.428	5.746	-0.116
88.375	2.315	82.976	9.640	7.357	6.539	-0.207
88.500	2.337	77.542	10.863	8.370	8.164	-0.325
88.625	2.363	72.023	11.747	9.233	10.399	-0.487
88.750	2.385	67.840	12.065	9.736	11.692	-0.682
88.875	2.393	66.272	11.760	9.766	11.653	-0.880
89.000	2.383	69.327	10.970	9.338	11.606	-1.048
89.125	2.365	74.223	10.060	8.704	11.010	-1.166
89.250	2.346	76.704	9.290	8.077	9.098	-1.241
89.375	2.328	75.711	8.764	7.575	7.591	-1.318
89.500	2.306	73.522	8.471	7.238	7.123	-1.404
89.625	2.279	72.594	8.298	7.016	7.019	-1.452
89.750	2.251	72.991	8.169	6.859	6.724	-1.464
89.875	2.227	74.427	8.048	6.732	6.399	-1.485
90.000	2.217	76.256	7.918	6.612	6.130	-1.551
90.125	2.215	78.397	7.781	6.491	6.055	-1.632
90.250	2.217	80.704	7.649	6.376	6.088	-1.701
90.375	2.219	81.164	7.552	6.287	6.103	-1.755
90.500	2.224	79.181	7.591	6.288	6.068	-1.817
90.625	2.238	76.858	7.891	6.461	6.126	-1.908
90.750	2.269	74.390	8.584	6.905	6.337	-2.017
90.875	2.321	71.387	9.734	7.687	6.934	-2.111
91.000	2.386	69.600	11.291	8.817	8.359	-2.194
91.125	2.442	69.383	12.926	10.091	10.669	-2.312
91.250	2.462	68.888	14.241	11.224	13.828	-2.490
91.375	2.441	67.158	14.868	11.920	17.426	-2.702
91.500	2.397	65.132	14.500	11.876	17.306	-2.903
91.625	2.357	63.759	13.385	11.206	14.125	-3.074
91.750	2.334	63.223	11.928	10.187	11.863	-3.241
91.875	2.321	64.066	10.508	9.107	11.209	-3.442
92.000	2.305	65.297	9.427	8.208	10.058	-3.679
92.125	2.279	65.590	8.741	7.564	8.718	-3.918
92.250	2.249	66.137	8.417	7.180	7.462	-4.139
92.375	2.223	67.425	8.387	7.028	6.841	-4.364
92.500	2.207	67.631	8.574	7.073	6.794	-4.641
92.625	2.198	64.915	8.841	7.225	6.905	-4.976
92.750	2.194	61.934	9.082	7.404	7.010	-5.333
92.875	2.192	61.387	9.237	7.550	7.073	-5.671
93.000	2.191	62.164	9.301	7.639	7.119	-5.980
93.125	2.189	63.022	9.329	7.694	7.215	-6.279
93.250	2.184	64.048	9.372	7.747	7.377	-6.581
93.375	2.177	63.939	9.455	7.820	7.569	-6.858
93.500	2.168	60.172	9.578	7.919	7.726	-7.066
93.625	2.162	55.069	9.710	8.022	7.790	-7.243
93.750	2.159	52.647	9.815	8.102	7.727	-7.428
93.875	2.159	53.179	9.869	8.141	7.627	-7.624
94.000	2.161	54.423	9.859	8.125	7.605	-7.799
94.125	2.163	55.249	9.808	8.074	7.607	-7.931
94.250	2.165	56.831	9.742	8.011	7.547	-8.025
94.375	2.167	59.210	9.686	7.959	7.446	-8.118
94.500	2.172	59.832	9.649	7.931	7.387	-8.233
94.625	2.176	57.947	9.619	7.920	7.381	-8.326
94.750	2.172	55.314	9.582	7.912	7.388	-8.370
94.875	2.155	54.314	9.529	7.894	7.392	-8.374
95.000	2.127	55.229	9.464	7.863	7.318	-8.363
95.125	2.097	55.576	9.399	7.826	7.160	-8.362
95.250	2.075	54.881	9.346	7.796	6.971	-8.347
95.375	2.064	54.470	9.313	7.782	6.856	-8.277
95.500	2.065	55.910	9.304	7.794	6.867	-8.156
95.625	2.075	57.405	9.312	7.826	6.968	-8.049
95.750	2.089	56.698	9.326	7.863	7.193	-7.985
95.875	2.105	54.862	9.332	7.893	7.406	-7.944
96.000	2.118	54.958	9.310	7.896	7.541	-7.895
96.125	2.126	56.594	9.259	7.873	7.555	-7.855
96.250	2.125	57.674	9.198	7.838	7.459	-7.835
96.375	2.118	57.568	9.153	7.805	7.338	-7.843
96.500	2.110	58.005	9.163	7.804	7.302	-7.845
96.625	2.104	57.623	9.238	7.847	7.337	-7.802
96.750	2.104	56.151	9.370	7.935	7.456	-7.717
96.875	2.108	56.757	9.538	8.062	7.629	-7.626
97.000	2.113	59.848	9.723	8.214	7.770	-7.533
97.125	2.118	60.732	9.900	8.369	7.818	-7.399
97.250	2.122	58.818	10.053	8.508	7.886	-7.233
97.375	2.127	57.034	10.161	8.613	8.020	-7.070
97.500	2.132	57.081	10.196	8.659	8.192	-6.949
97.625	2.135	56.779	10.154	8.642	8.238	-6.880
97.750	2.134	55.356	10.045	8.569	8.185	-6.828
97.875	2.132	53.245	9.898	8.457	8.077	-6.751
98.000	2.129	52.151	9.758	8.340	7.984	-6.661
98.125	2.125	53.595	9.665	8.252	7.884	-6.607
98.250	2.122	57.150	9.633	8.213	7.807	-6.582
98.375	2.122	60.004	9.654	8.228	7.835	-6.554
98.500	2.125	59.347	9.714	8.292	8.012	-6.490
98.625	2.130	56.078	9.794	8.387	8.243	-6.400
98.750	2.135	53.450	9.890	8.497	8.491	-6.327
98.875	2.140	53.692	10.004	8.617	8.727	-6.303
99.000	2.141	55.117	10.134	8.739	8.860	-6.314
99.125	2.139	54.899	10.265	8.854	8.925	-6.317
99.250	2.135	53.896	10.377	8.955	8.897	-6.304
99.375	2.132	53.490	10.454	9.032	8.757	-6.310
99.500	2.133	53.768	10.488	9.080	8.647	-6.378
99.625	2.138	54.891	10.492	9.107	8.636	-6.473
99.750	2.145	56.127	10.488	9.126	8.611	-6.544
99.875	2.151	54.623	10.488	9.144	8.502	-6.574
100.000	2.152	50.536	10.492	9.162	8.447	-6.604
100.125	2.149	49.078	10.487	9.169	8.468	-6.652
100.250	2.143	50.684	10.462	9.160	8.502	-6.694
100.375	2.138	51.682	10.418	9.130	8.523	-6.689
100.500	2.134	51.238	10.370	9.084	8.496	-6.625
100.625	2.129	51.368	10.342	9.038	8.464	-6.558
100.750	2.125	52.238	10.339	9.008	8.413	-6.503
100.875	2.122	53.216	10.353	9.008	8.363	-6.447
101.000	2.119	54.204	10.394	9.049	8.352	-6.365
101.125	2.121	54.762	10.468	9.129	8.386	-6.257
101.250	2.126	54.830	10.590	9.243	8.501	-6.156
101.375	2.137	54.050	10.754	9.382	8.726	-6.088
101.500	2.154	53.351	10.945	9.533	9.008	-6.039
101.625	2.169	55.647	11.163	9.670	9.200	-5.945
101.750	2.180	60.186	11.346	9.756	9.214	-5.812
101.875	2.184	61.610	11.405	9.741	9.218	-5.685
102.000	2.183	57.891	11.134	9.551	9.310	-5.569
102.125	2.184	54.591	10.649	9.196	9.210	-5.441
102.250	2.190	55.701	10.081	8.741	8.851	-5.288
102.375	2.200	60.719	9.583	8.296	8.339	-5.127
102.500	2.215	67.192	9.338	8.015	7.690	-5.007
102.625	2.236	71.333	9.363	7.940	7.281	-4.951
102.750	2.268	69.982	9.555	8.023	7.642	-4.936
102.875	2.312	64.248	9.752	8.158	8.929	-4.939
103.000	2.358	59.177	9.780	8.215	11.266	-4.990
103.125	2.387	59.310	9.628	8.150	13.594	-5.133
103.250	2.385	64.445	9.406	8.012	13.260	-5.388
103.375	2.352	68.499	9.279	7.905	9.848	-5.708
103.500	2.304	65.211	9.405	7.953	8.358	-6.024
103.625	2.260	58.509	9.751	8.163	8.588	-6.353
103.750	2.227	54.060	10.191	8.472	9.104	-6.730
103.875	2.206	52.769	10.587	8.787	9.181	-7.155
104.000	2.199	51.505	10.805	9.002	8.957	-7.573
104.125	2.202	50.623	10.838	9.088	8.630	-7.925
104.250	2.209	51.399	10.749	9.074	8.371	-8.206
104.375	2.211	53.783	10.614	9.009	8.237	-8.454
104.500	2.201	57.026	10.501	8.943	8.141	-8.687
104.625	2.183	59.613	10.437	8.900	8.026	-8.861
104.750	2.163	60.927	10.416	8.883	7.900	-8.960
104.875	2.151	60.478	10.418	8.877	7.853	-8.982
105.000	2.155	58.436	10.415	8.862	8.009	-8.966
105.125	2.170	56.233	10.396	8.829	8.275	-8.970
105.250	2.192	55.030	10.368	8.782	8.514	-8.990
105.375	2.211	55.288	10.349	8.735	8.619	-8.992
105.500	2.221	55.589	10.372	8.717	8.524	-8.976
105.625	2.221	55.999	10.454	8.749	8.363	-8.986
105.750	2.215	56.128	10.600	8.842	8.288	-9.031
105.875	2.203	55.009	10.800	8.993	8.460	-9.080
106.000	2.190	53.380	11.022	9.183	8.850	-9.056
106.125	2.177	53.045	11.224	9.372	9.374	-8.945
