#Depth	GR	RT	RI	RXO	AC	SP	R2M	R025	DEN
233.000	92.384	5.174	4.177	5.044	394.337	-23.096	5.354	3.239	2.262
233.125	96.278	5.070	4.075	4.821	396.329	-23.372	5.342	3.516	2.227
233.250	97.867	4.948	3.970	4.941	405.364	-23.708	5.324	3.583	2.202
233.375	91.411	4.884	3.917	5.126	403.770	-24.028	5.310	3.606	2.216
233.500	89.722	4.870	3.909	5.001	406.276	-24.304	5.079	3.515	2.243
233.625	89.464	4.964	3.988	4.982	406.962	-24.584	4.897	3.406	2.266
233.750	88.947	5.161	4.145	5.313	405.837	-24.836	4.645	3.419	2.269
233.875	87.139	5.440	4.361	5.996	403.947	-25.057	4.215	3.585	2.253
234.000	82.669	5.812	4.637	6.722	398.442	-25.385	3.928	3.679	2.236
234.125	80.682	6.076	4.853	6.813	392.060	-25.583	3.830	3.700	2.229
234.250	79.013	6.201	4.958	6.816	388.658	-25.814	3.937	3.959	2.229
234.375	77.275	6.114	4.916	6.516	384.042	-26.008	3.964	4.088	2.230
234.500	75.378	5.927	4.788	6.128	381.624	-26.225	4.056	4.011	2.229
234.625	73.838	5.810	4.685	5.981	383.494	-26.475	4.292	3.859	2.226
234.750	74.086	5.863	4.709	6.216	381.444	-26.546	4.173	3.891	2.230
234.875	74.185	6.014	4.795	6.874	382.582	-26.778	4.381	3.989	2.241
235.000	74.126	6.118	4.866	7.478	378.100	-26.995	4.481	4.034	2.248
235.125	73.490	6.208	4.965	7.161	374.199	-27.233	4.675	4.145	2.247
235.250	75.079	6.365	5.147	6.671	371.949	-27.421	4.796	4.326	2.243
235.375	78.527	6.686	5.452	7.158	369.931	-27.551	4.766	4.504	2.245
235.500	73.908	7.239	5.885	8.964	366.818	-27.829	5.050	4.569	2.256
235.625	71.672	7.966	6.399	10.129	366.703	-27.854	5.143	4.720	2.273
235.750	69.954	8.429	6.736	9.819	360.968	-27.977	5.348	4.669	2.276
235.875	72.298	8.297	6.702	8.959	360.938	-28.089	5.348	4.563	2.264
236.000	76.867	7.649	6.310	7.928	364.265	-28.199	5.406	4.441	2.243
236.125	80.066	6.812	5.726	6.865	367.894	-28.320	5.689	4.313	2.225
236.250	80.166	6.195	5.214	5.975	381.033	-28.354	5.609	4.239	2.216
236.375	79.023	5.921	4.949	6.142	377.920	-28.514	5.290	4.047	2.213
236.500	79.192	5.777	4.777	6.423	379.849	-28.573	4.899	4.045	2.212
236.625	79.987	5.602	4.618	6.182	379.075	-28.649	4.748	3.951	2.217
236.750	81.238	5.339	4.437	5.549	378.451	-28.680	4.673	3.800	2.227
236.875	82.371	5.030	4.250	4.971	380.866	-28.621	4.503	3.701	2.238
237.000	81.477	4.817	4.123	4.746	378.665	-28.647	4.529	3.604	2.244
237.125	82.470	4.916	4.255	5.267	375.171	-28.684	4.462	3.850	2.241
237.250	82.272	5.365	4.688	6.787	375.627	-28.605	4.481	4.047	2.237
237.375	81.417	6.090	5.321	8.227	375.292	-28.493	4.537	4.351	2.231
237.500	79.669	6.936	6.023	9.081	377.083	-28.423	4.598	4.686	2.221
237.625	76.739	7.677	6.634	9.282	382.743	-28.389	4.667	4.987	2.206
237.750	73.013	8.034	6.975	9.080	383.996	-28.238	4.796	5.443	2.185
237.875	71.523	7.845	6.906	8.964	391.286	-28.170	4.946	5.410	2.175
238.000	64.669	7.544	6.695	9.044	391.772	-28.315	5.028	5.552	2.175
238.125	64.371	7.284	6.492	9.107	388.757	-28.472	5.039	5.862	2.178
238.250	65.762	7.292	6.498	9.209	385.256	-28.687	5.140	6.195	2.182
238.375	63.526	7.778	6.881	9.507	382.051	-29.015	5.427	6.362	2.189
238.500	68.245	8.830	7.686	10.093	375.748	-29.293	5.710	6.226	2.209
238.625	63.527	10.124	8.491	15.235	369.747	-29.385	6.392	6.174	2.257
238.750	62.980	10.288	8.494	17.363	356.762	-29.367	7.984	5.971	2.312
238.875	64.818	9.125	7.707	12.506	353.284	-29.306	9.638	5.672	2.362
239.000	67.053	7.271	6.505	6.431	357.671	-29.182	10.633	5.273	2.393
239.125	69.685	5.640	5.359	5.145	364.324	-28.981	10.649	4.821	2.402
239.250	76.887	4.868	4.558	5.376	377.841	-28.783	10.060	4.523	2.397
239.375	78.079	4.807	4.423	5.817	376.020	-28.610	9.268	4.554	2.389
239.500	81.298	5.268	4.765	6.696	369.580	-28.512	7.468	4.680	2.386
239.625	81.596	6.080	5.408	7.337	361.713	-28.402	5.518	4.938	2.385
239.750	81.020	6.982	6.187	7.710	354.724	-28.212	4.154	5.377	2.386
239.875	82.033	7.810	6.987	8.422	349.957	-27.973	3.686	5.996	2.387
240.000	80.940	8.670	7.773	10.715	347.677	-27.884	3.700	6.689	2.381
240.125	81.189	9.465	8.527	12.467	337.956	-28.023	3.711	7.325	2.366
240.250	77.861	10.096	9.193	12.827	337.044	-27.953	3.902	8.222	2.347
240.375	74.980	10.888	10.027	13.086	333.323	-27.985	4.315	8.939	2.336
240.500	72.795	11.949	11.061	14.026	326.929	-28.148	4.827	9.419	2.341
240.625	70.560	13.273	12.212	17.582	319.337	-28.342	5.405	9.785	2.365
240.750	69.318	14.838	13.389	28.497	302.933	-28.485	6.351	10.119	2.401
240.875	67.431	15.678	13.815	44.439	299.134	-28.481	7.809	10.166	2.422
241.000	66.656	14.917	13.049	36.689	308.035	-28.679	9.156	9.762	2.406
241.125	68.990	13.188	11.586	21.340	321.703	-28.861	9.961	9.236	2.367
241.250	73.808	11.249	9.956	10.801	338.442	-29.077	10.234	8.688	2.325
241.375	80.016	9.675	8.563	9.504	355.971	-29.408	10.180	8.085	2.298
241.500	88.212	8.544	7.522	9.600	364.629	-29.732	9.952	7.352	2.294
241.625	88.709	7.948	6.984	8.922	378.944	-30.077	9.262	6.843	2.302
241.750	90.993	7.543	6.650	7.662	385.272	-30.294	8.301	6.380	2.314
241.875	92.980	7.337	6.495	7.135	389.144	-30.442	7.685	5.904	2.334
242.000	93.775	7.295	6.470	7.430	387.808	-30.543	7.425	5.548	2.361
242.125	93.675	7.356	6.511	7.877	380.213	-30.602	7.308	5.437	2.396
242.250	94.172	7.443	6.550	7.506	377.024	-30.611	7.279	5.491	2.430
242.375	92.037	7.436	6.549	6.455	369.429	-30.750	6.906	5.484	2.463
242.500	96.179	7.307	6.486	6.599	368.517	-31.043	6.710	5.701	2.491
242.625	99.358	7.225	6.474	7.398	372.169	-31.424	6.632	6.000	2.505
242.750	100.311	7.335	6.632	8.398	376.188	-31.851	6.683	6.293	2.497
242.875	98.980	7.752	7.049	9.478	377.979	-32.308	6.889	6.559	2.463
243.000	91.729	8.549	7.749	11.105	380.259	-32.792	7.231	6.855	2.411
243.125	87.010	9.514	8.516	11.731	380.259	-33.192	7.918	6.776	2.411
243.250	82.888	10.290	9.128	11.925	376.522	-33.571	8.712	7.017	2.373
243.375	81.328	10.735	9.470	11.831	375.246	-34.014	9.592	7.325	2.336
243.500	80.782	10.839	9.529	11.697	377.477	-34.492	10.433	7.571	2.315
243.625	79.728	10.689	9.372	11.574	382.096	-34.963	11.050	7.699	2.313
243.750	80.225	10.436	9.117	11.009	388.780	-35.468	11.230	7.676	2.322
243.875	79.729	10.222	8.894	9.419	396.145	-35.927	11.347	7.979	2.334
244.000	77.205	10.094	8.746	9.624	399.137	-36.661	11.256	8.068	2.343
244.125	76.440	9.976	8.626	10.653	400.899	-37.195	11.003	8.096	2.344
244.250	77.146	9.895	8.563	11.277	402.329	-37.579	10.779	8.224	2.337
244.375	78.010	9.921	8.614	11.003	403.589	-38.037	10.683	8.484	2.323
244.500	79.748	10.089	8.819	11.065	405.640	-38.614	10.487	8.650	2.305
244.625	78.507	10.525	9.231	13.146	403.058	-39.329	10.293	8.873	2.287
244.750	76.152	11.081	9.735	15.477	399.869	-39.718	10.184	9.080	2.273
244.875	74.444	11.707	10.298	16.784	397.208	-40.240	10.056	9.395	2.260
