#Depth	DEN	SP	R2M	R025	RA2	GR	RT	RI	RXO
72.125	2.401	-25.810	9.710	6.005	9.710	83.944	10.265	7.549	12.567
72.250	2.397	-25.448	9.547	6.060	9.547	91.727	9.530	6.955	7.935
72.375	2.373	-25.433	9.289	6.188	9.289	94.252	8.934	6.420	6.414
72.500	2.336	-25.749	8.876	6.365	8.876	90.641	8.594	6.056	6.347
72.625	2.285	-26.384	8.177	6.588	8.177	84.509	8.517	5.927	6.760
72.750	2.226	-27.173	7.395	6.849	7.395	78.413	8.585	5.979	7.765
72.875	2.165	-28.030	6.893	7.173	6.893	71.828	8.844	6.218	9.038
73.000	2.125	-28.865	6.823	7.631	6.823	64.174	9.526	6.734	9.980
73.125	2.151	-29.657	7.304	8.366	7.304	59.533	11.157	7.814	10.565
73.250	2.262	-30.399	8.229	9.353	8.229	59.329	13.815	9.580	12.664
73.375	2.427	-31.078	9.341	10.418	9.341	60.012	17.247	12.016	19.111
73.500	2.545	-31.695	10.383	11.248	10.383	58.543	20.564	14.668	39.063
73.625	2.524	-32.236	11.084	11.416	11.084	56.513	21.786	16.132	63.265
73.750	2.425	-32.753	11.542	10.935	11.542	55.726	20.262	15.584	74.830
73.875	2.310	-33.228	11.781	9.997	11.781	55.309	16.952	13.488	45.255
74.000	2.219	-33.676	11.731	8.924	11.731	54.621	13.556	11.022	18.085
74.125	2.176	-34.039	11.261	8.062	11.261	55.530	11.336	9.140	12.477
74.250	2.168	-34.325	10.491	7.515	10.491	56.886	10.203	7.952	10.964
74.375	2.177	-34.493	9.539	7.254	9.539	57.021	9.845	7.349	10.926
74.500	2.185	-34.516	8.614	7.185	8.614	56.632	9.909	7.162	10.949
74.625	2.183	-34.401	7.963	7.198	7.963	57.928	10.115	7.244	10.676
74.750	2.180	-34.161	7.508	7.187	7.508	59.900	10.311	7.418	10.297
74.875	2.183	-33.848	7.175	7.119	7.175	62.117	10.499	7.620	10.087
75.000	2.195	-33.471	7.122	6.995	7.122	64.271	10.694	7.814	9.956
75.125	2.211	-33.098	7.327	6.830	7.327	68.516	10.852	7.954	9.880
75.250	2.216	-32.719	7.589	6.675	7.589	74.213	10.904	8.017	9.562
75.375	2.204	-32.363	7.937	6.571	7.937	77.960	10.814	7.993	9.078
75.500	2.180	-32.040	8.341	6.548	8.341	74.327	10.608	7.898	8.439
75.625	2.155	-31.747	8.779	6.610	8.779	62.769	10.370	7.767	8.187
75.750	2.137	-31.493	9.223	6.683	9.223	54.841	10.187	7.648	8.286
75.875	2.129	-31.266	9.636	6.698	9.636	55.471	10.090	7.561	8.450
