#Depth	SP	GR	RI	RT	RXO	DEN
136.500	-8.575	94.765	5.121	5.659	5.650	2.238
136.625	-8.228	98.485	4.832	5.362	5.616	2.242
136.750	-8.186	99.631	4.765	5.264	5.479	2.252
136.875	-8.625	97.673	5.024	5.535	5.555	2.271
137.000	-9.254	92.726	5.891	6.547	6.768	2.322
137.125	-9.930	87.687	7.606	8.629	11.081	2.405
137.250	-10.315	82.762	10.401	12.002	18.468	2.487
137.375	-10.509	79.612	13.451	15.555	23.886	2.526
137.500	-10.841	77.852	15.241	17.307	22.799	2.500
137.625	-11.387	76.196	14.768	16.349	17.009	2.420
137.750	-11.917	73.331	12.617	13.525	11.245	2.307
137.875	-12.089	71.948	9.885	10.292	8.069	2.200
138.000	-12.157	71.955	8.283	8.634	7.155	2.126
138.125	-12.241	70.825	7.637	8.078	7.137	2.086
138.250	-12.581	66.329	7.549	8.092	7.239	2.074
138.375	-13.134	62.385	7.666	8.297	7.262	2.080
138.500	-13.645	62.650	7.814	8.491	7.096	2.095
138.625	-13.966	66.548	7.915	8.604	6.898	2.104
138.750	-14.458	70.360	7.954	8.626	6.963	2.104
138.875	-15.209	73.942	7.946	8.593	7.212	2.100
139.000	-16.342	76.707	7.891	8.510	7.379	2.101
139.125	-17.635	78.687	7.802	8.401	7.354	2.103
139.250	-18.669	78.596	7.679	8.268	7.183	2.105
139.375	-19.176	78.061	7.515	8.090	6.987	2.106
139.500	-19.291	78.345	7.364	7.938	6.830	2.112
139.625	-19.031	78.864	7.313	7.917	6.810	2.138
139.750	-18.253	80.341	7.480	8.168	6.989	2.212
139.875	-17.216	81.298	7.858	8.664	7.189	2.327
140.000	-16.315	81.365	8.316	9.226	7.196	2.433
140.125	-15.530	79.997	8.691	9.653	7.029	2.461
140.250	-14.831	78.053	8.844	9.796	6.887	2.387
140.375	-14.461	75.004	8.762	9.663	6.844	2.271
140.500	-14.324	72.153	8.509	9.362	6.840	2.186
140.625	-14.294	71.228	8.246	9.087	6.863	2.148
140.750	-14.545	72.788	8.073	8.932	6.874	2.133
140.875	-15.171	75.011	7.992	8.883	6.789	2.119
141.000	-16.037	76.178	7.920	8.852	6.567	2.112
141.125	-16.819	76.103	7.823	8.828	6.326	2.115
