#Depth	DEN	SP	R2M	R025	RA2	GR	RT	RI	RXO
193.000	2.287	-18.331	101.056	61.513	101.056	74.404	80.191	81.355	78.607
193.125	2.280	-18.422	105.113	60.673	105.113	74.646	76.561	77.604	73.708
193.250	2.275	-18.495	108.699	60.208	108.699	76.270	74.915	75.669	70.128
193.375	2.271	-18.554	112.149	60.058	112.149	77.395	74.898	75.483	66.191
193.500	2.270	-18.604	115.908	60.084	115.908	76.529	75.812	76.524	65.942
193.625	2.271	-18.643	120.373	60.056	120.373	75.045	76.835	77.893	73.267
193.750	2.275	-18.667	125.162	59.758	125.162	73.810	77.836	78.704	80.819
193.875	2.281	-18.659	129.874	59.309	129.874	72.518	79.205	78.765	78.052
194.000	2.289	-18.608	134.158	58.940	134.158	71.853	80.332	78.515	70.500
194.125	2.295	-18.519	137.791	58.801	137.791	70.984	81.035	78.961	69.592
194.250	2.294	-18.436	141.361	58.921	141.361	69.674	81.733	80.615	75.534
194.375	2.287	-18.381	145.332	59.155	145.332	68.244	82.903	83.237	88.102
194.500	2.278	-18.368	149.802	59.113	149.802	68.340	84.427	85.823	99.945
194.625	2.272	-18.403	154.609	58.418	154.609	69.540	84.507	86.556	102.935
194.750	2.274	-18.447	158.879	57.173	158.879	69.112	82.142	84.725	93.119
194.875	2.281	-18.500	161.670	55.662	161.670	69.073	77.784	80.593	75.079
195.000	2.291	-18.562	162.349	54.279	162.349	72.990	73.089	75.299	63.411
195.125	2.299	-18.641	160.228	53.303	160.228	78.879	70.298	70.472	61.954
195.250	2.302	-18.713	156.253	52.743	156.253	80.189	68.670	67.124	61.313
195.375	2.301	-18.763	151.592	52.508	151.592	76.532	67.808	65.562	60.259
195.500	2.299	-18.773	147.321	52.431	147.321	71.933	67.422	65.625	56.358
195.625	2.296	-18.739	144.453	52.536	144.453	70.840	67.502	66.945	57.596
195.750	2.290	-18.715	142.861	52.731	142.861	73.601	68.293	68.652	63.247
195.875	2.282	-18.699	141.921	52.830	141.921	78.394	69.952	70.174	69.540
196.000	2.274	-18.698	141.143	52.778	141.143	81.868	71.557	71.094	69.578
196.125	2.271	-18.718	140.302	52.484	140.302	81.266	72.159	71.091	67.530
196.250	2.274	-18.743	139.368	51.964	139.368	79.060	71.332	70.366	65.438
196.375	2.281	-18.769	138.529	51.377	138.529	76.871	70.048	69.112	63.554
196.500	2.288	-18.794	137.791	50.859	137.791	75.527	68.220	67.545	62.644
196.625	2.296	-18.815	136.888	50.468	136.888	76.207	66.696	65.857	59.595
196.750	2.303	-18.812	135.757	50.192	135.757	76.948	65.039	64.227	57.450
196.875	2.307	-18.790	134.235	49.977	134.235	75.280	63.419	62.778	57.565
197.000	2.306	-18.750	132.255	49.855	132.255	71.369	62.048	61.650	57.005
197.125	2.302	-18.699	129.874	50.051	129.874	68.261	60.977	61.092	54.567
197.250	2.297	-18.651	127.215	50.599	127.215	66.799	60.713	61.140	52.160
197.375	2.296	-18.608	124.656	51.454	124.656	66.911	61.308	61.812	52.155
197.500	2.300	-18.583	122.687	52.466	122.687	69.491	62.733	63.063	55.359
197.625	2.307	-18.587	121.691	53.513	121.691	72.579	64.943	64.911	60.401
197.750	2.313	-18.600	121.552	54.650	121.552	71.248	67.770	67.267	63.253
197.875	2.316	-18.618	122.067	55.925	122.067	67.299	71.244	70.201	62.239
198.000	2.312	-18.630	122.952	57.357	122.952	67.126	75.335	73.783	60.616
198.125	2.301	-18.623	124.277	58.869	124.277	72.724	79.921	77.991	72.739
198.250	2.285	-18.602	126.119	60.156	126.119	75.235	84.508	82.323	80.922
198.375	2.269	-18.552	128.451	60.988	128.451	71.510	88.531	86.183	83.472
198.500	2.259	-18.469	131.144	61.325	131.144	66.339	91.391	88.956	87.275
198.625	2.260	-18.358	133.784	61.221	133.784	66.541	92.407	89.992	85.808
198.750	2.269	-18.240	136.166	60.927	136.166	69.949	91.863	89.592	83.682
198.875	2.278	-18.117	138.364	60.493	138.364	71.774	90.036	88.058	80.319
199.000	2.282	-18.022	140.325	59.795	140.325	70.910	87.190	85.652	80.031
199.125	2.279	-17.950	142.159	58.757	142.159	70.631	83.426	82.398	80.115
199.250	2.271	-17.899	143.873	57.498	143.873	72.572	79.226	78.631	77.528
199.375	2.266	-17.899	145.188	56.146	145.188	74.145	75.121	74.794	68.709
199.500	2.267	-17.935	145.998	54.971	145.998	73.488	71.734	71.518	57.857
199.625	2.271	-17.980	146.108	54.295	146.108	70.804	69.811	69.617	51.108
199.750	2.273	-18.013	145.853	54.050	145.853	68.481	69.290	69.118	52.318
199.875	2.271	-18.046	145.917	54.022	145.917	67.977	69.908	69.775	60.994
200.000	2.265	-18.061	146.694	53.918	146.694	68.670	71.093	71.022	69.202
200.125	2.262	-18.053	148.109	53.556	148.109	68.209	71.967	72.022	64.500
200.250	2.265	-18.030	149.433	53.075	149.433	66.582	71.885	72.160	54.175
200.375	2.271	-18.006	149.870	52.594	149.870	66.677	70.612	71.185	53.141
200.500	2.276	-18.017	149.051	52.148	149.051	71.458	68.292	69.156	56.521
200.625	2.277	-18.070	146.954	51.778	146.954	77.087	65.367	66.337	58.792
200.750	2.280	-18.150	143.862	51.524	143.862	77.331	62.636	63.440	55.194
200.875	2.288	-18.249	139.991	51.593	139.991	73.651	60.772	61.115	51.372
201.000	2.303	-18.357	135.706	52.263	135.706	71.509	60.451	60.086	49.020
201.125	2.317	-18.475	131.571	53.903	131.571	72.656	62.844	61.593	44.869
201.250	2.320	-18.591	128.456	56.539	128.456	73.910	68.272	66.065	46.285
