#Depth	SP	GR	RI	RT	RXO	DEN
170.500	-25.730	78.899	4.322	5.135	3.716	2.216
170.625	-25.498	81.554	3.914	4.661	3.171	2.200
170.750	-25.428	81.174	3.742	4.518	2.994	2.200
170.875	-25.510	78.747	3.722	4.564	2.808	2.211
171.000	-25.695	78.093	3.722	4.598	2.940	2.223
171.125	-25.920	78.067	3.625	4.483	3.171	2.223
171.250	-26.135	79.478	3.379	4.162	3.134	2.196
171.375	-26.366	80.779	3.037	3.713	3.028	2.136
171.500	-26.604	82.210	2.697	3.271	2.777	2.043
171.625	-26.840	80.913	2.458	2.964	2.321	1.945
171.750	-27.025	78.126	2.390	2.894	2.111	1.888
171.875	-27.160	76.091	2.510	3.084	2.532	1.905
172.000	-27.234	77.537	2.797	3.498	3.503	1.991
172.125	-27.259	80.715	3.146	3.975	4.237	2.089
172.250	-27.182	82.909	3.442	4.350	4.314	2.150
172.375	-27.004	84.391	3.604	4.532	4.147	2.168
172.500	-26.746	86.304	3.616	4.519	4.147	2.165
172.625	-26.455	89.244	3.568	4.447	4.406	2.167
172.750	-26.178	91.436	3.521	4.399	4.536	2.179
172.875	-25.970	92.330	3.498	4.397	4.397	2.193
173.000	-25.825	91.491	3.499	4.434	4.396	2.202
173.125	-25.757	91.558	3.511	4.489	4.487	2.207
173.250	-25.731	91.400	3.528	4.548	4.433	2.214
173.375	-25.678	92.919	3.553	4.612	4.391	2.223
173.500	-25.630	94.950	3.592	4.686	4.452	2.236
173.625	-25.623	98.328	3.653	4.779	4.474	2.252
173.750	-25.656	100.538	3.706	4.850	4.616	2.264
173.875	-25.751	99.608	3.716	4.852	4.945	2.266
174.000	-25.937	97.010	3.666	4.760	4.916	2.255
174.125	-26.220	95.182	3.566	4.604	4.454	2.239
174.250	-26.579	94.771	3.458	4.430	4.079	2.224
174.375	-26.960	94.748	3.355	4.277	4.008	2.215
174.500	-27.384	93.216	3.285	4.178	4.071	2.207
174.625	-27.811	90.534	3.256	4.142	4.025	2.199
174.750	-28.249	86.836	3.280	4.177	3.892	2.194
